id;nombre_espanol;nombre_archivo;nivel;tipo_ejercicio;posicion;areas_cuerpo;duracion_segundos;requiere_equipo;equipo_necesario;evitar_si_limitacion;objetivos;descripcion_corta;descripcion_completa;instrucciones_clave;beneficios;precauciones;clasificado_por;verificado_manualmente;notas_admin
207;Abdominales;Sit-ups.mov;avanzado;fuerza;tumbado;core | cuello;;t;esterilla;espalda | cuello;fuerza;Ejercicio intenso de fortalecimiento abdominal que implica elevar el tronco desde posición tumbada hasta sentarse completamente.;Los sit-ups son un ejercicio avanzado de fortalecimiento del core que requiere tumbarse boca arriba con rodillas flexionadas y elevar todo el tronco hasta alcanzar una posición sentada. Este ejercicio clásico trabaja intensamente los músculos abdominales, pero genera considerable tensión en la columna lumbar y cervical, haciéndolo inadecuado para la mayoría de personas mayores o con movilidad limitada.;Tumbarse boca arriba con rodillas flexionadas y pies apoyados | Colocar manos detrás de la cabeza o cruzadas en el pecho | Elevar el tronco completo usando los abdominales hasta sentarse | Descender controladamente a la posición inicial;Fortalecimiento intenso de los músculos abdominales | Mejora de la fuerza del core;NO RECOMENDADO para personas mayores o con movilidad limitada | Alto riesgo de lesión lumbar y cervical | Requiere fuerza abdominal significativa | Contraindicado en problemas de espalda, cuello o hernias | Considerar alternativas más seguras como ejercicios abdominales modificados en silla;ia;f;
41;Abdominales (Encogimientos);Crunches.mov;intermedio;fuerza;tumbado;core;;t;esterilla;espalda | cuello;fuerza | postura;Ejercicio abdominal clásico tumbado boca arriba que fortalece el core mediante elevación del tronco superior.;Los crunches o encogimientos abdominales son un ejercicio de fuerza para el core realizado tumbado boca arriba con rodillas flexionadas. Consiste en elevar la parte superior del tronco contrayendo los músculos abdominales, manteniendo la zona lumbar pegada al suelo. Es importante realizar el movimiento de forma controlada y sin tirar del cuello.;Túmbate boca arriba con rodillas flexionadas y pies apoyados en el suelo | Coloca las manos detrás de la cabeza o cruzadas sobre el pecho | Eleva solo la parte superior de la espalda del suelo, contrayendo el abdomen | Mantén la zona lumbar pegada al suelo en todo momento | Baja lentamente a la posición inicial sin dejar caer el peso bruscamente;Fortalece los músculos abdominales y el core | Mejora la estabilidad del tronco | Contribuye a una mejor postura corporal;No realizar si hay problemas lumbares o hernias discales | Evitar tirar del cuello con las manos | No arquear la espalda baja durante el ejercicio | Consultar con médico si hay dolor cervical previo;ia;f;
64;Abdominales Choca Esos Cinco;High-Five_Abs.mov;intermedio;fuerza | estabilidad | cardio;suelo;core | brazos | hombros;;t;esterilla;espalda | cuello | hombros | munecas;fuerza | estabilidad | confianza;Ejercicio abdominal dinámico donde se alternan toques de manos mientras se mantiene posición de plancha o crunch.;Ejercicio de fortalecimiento del core que combina la activación abdominal con movimiento de brazos. Desde una posición tumbada boca arriba con rodillas flexionadas o en posición de plancha modificada, se realizan toques alternados de manos simulando un 'choca esos cinco', manteniendo la contracción abdominal constante. Este ejercicio desafía la estabilidad del tronco mientras se coordinan movimientos de extremidades superiores.;Túmbate boca arriba con rodillas flexionadas y pies apoyados en el suelo | Eleva ligeramente el tronco contrayendo los abdominales | Extiende los brazos y alterna toques de manos frente al pecho o hacia los lados | Mantén el abdomen contraído durante todo el movimiento | Respira de forma controlada sin aguantar el aire;Fortalece la musculatura abdominal profunda y superficial | Mejora la estabilidad del core y la coordinación | Aumenta la resistencia muscular del tronco | Trabaja la coordinación bilateral de brazos;No realizar si hay dolor lumbar agudo o hernias discales | Evitar si existe lesión cervical o tensión en el cuello | No forzar la elevación del tronco, mantener rango cómodo | Detener si aparece dolor en muñecas o hombros | No aguantar la respiración durante el ejercicio;ia;f;
172;Abdominales Invertidos;Reverse_Crunches.mov;avanzado;fuerza | estabilidad;tumbado;core | cadera;;t;esterilla;espalda | cuello | cadera;fuerza | estabilidad;Ejercicio abdominal tumbado que consiste en elevar las caderas y rodillas hacia el pecho, trabajando intensamente el abdomen inferior.;Los abdominales invertidos son un ejercicio avanzado donde la persona se tumba boca arriba con las rodillas flexionadas o piernas elevadas, y realiza el movimiento elevando la cadera del suelo acercando las rodillas hacia el pecho. A diferencia del crunch tradicional donde se eleva el torso, aquí se eleva la parte inferior del cuerpo, poniendo énfasis en el abdomen bajo y requiriendo control lumbar significativo.;Túmbate boca arriba con las rodillas flexionadas y pies elevados o piernas extendidas hacia arriba | Contrae el abdomen y eleva la cadera del suelo acercando las rodillas hacia el pecho | Baja de forma controlada sin arquear la espalda, manteniendo la zona lumbar protegida | Mantén el cuello relajado y los brazos extendidos a los lados para estabilidad;Fortalece intensamente el abdomen inferior y músculos del core profundo | Mejora la estabilidad y control de la zona lumbo-pélvica;NO recomendado para personas mayores o con movilidad limitada debido al alto esfuerzo lumbar | Evitar completamente si hay problemas de espalda, hernias discales o dolor lumbar | Contraindicado en casos de osteoporosis severa o cirugías abdominales recientes | Requiere supervisión profesional y valoración médica previa;ia;f;
118;Abdominales en Plancha Baja;Low_Plank_Crunches.mov;avanzado;fuerza | estabilidad;suelo;core | brazos | hombros | espalda;;t;esterilla;espalda | hombros | munecas | cuello;fuerza | estabilidad | postura;Ejercicio avanzado que combina la posición de plancha sobre antebrazos con movimientos de contracción abdominal.;Este ejercicio de alta intensidad consiste en mantener una posición de plancha apoyado sobre los antebrazos mientras se realizan contracciones abdominales llevando las rodillas hacia el pecho o moviendo el cuerpo hacia adelante y atrás. Requiere fuerza significativa en el core, hombros y brazos, así como estabilidad corporal completa.;Colócate en posición de plancha baja apoyando antebrazos y pies | Mantén el cuerpo alineado desde la cabeza hasta los talones | Contrae el abdomen y realiza pequeños movimientos de flexión del tronco | Mantén la respiración constante sin arquear la espalda | Controla el movimiento en todo momento;Fortalecimiento intenso de toda la musculatura abdominal | Mejora la estabilidad del core y la postura | Desarrolla fuerza en hombros y brazos | Aumenta la resistencia muscular;NO recomendado para personas mayores o con movilidad limitada | Evitar completamente si hay problemas de espalda, hombros o muñecas | Requiere supervisión profesional | Alto riesgo de lesión si no se ejecuta correctamente;ia;f;
234;Abdominales en Posición de Mesa;Table_Top_Crunches.mov;intermedio;fuerza | estabilidad;tumbado;core | piernas;;t;esterilla;espalda | cuello | cadera;fuerza | estabilidad | postura;Ejercicio abdominal tumbado boca arriba con piernas elevadas en posición de mesa y contracción del core.;Los abdominales en posición de mesa son un ejercicio de fortalecimiento del core que se realiza tumbado boca arriba. Las piernas se elevan formando un ángulo de 90 grados tanto en cadera como en rodillas (posición de mesa), mientras se realizan contracciones abdominales elevando ligeramente la cabeza y hombros del suelo. Este ejercicio trabaja principalmente el recto abdominal y los músculos estabilizadores profundos.;Túmbate boca arriba con rodillas dobladas y pies apoyados | Eleva las piernas formando 90 grados en cadera y rodillas (posición de mesa) | Coloca las manos detrás de la cabeza sin tirar del cuello | Contrae el abdomen y eleva ligeramente cabeza y hombros del suelo | Mantén la zona lumbar presionada contra el suelo | Realiza el movimiento de forma controlada y respira de manera constante;Fortalece la musculatura abdominal profunda | Mejora la estabilidad del core y la postura | Reduce la presión en la zona lumbar al mantener posición neutra | Aumenta la resistencia muscular del abdomen;No realizar si hay dolor lumbar agudo o hernias discales | Evitar tirar del cuello con las manos | Mantener siempre la zona lumbar pegada al suelo | Detener si aparece dolor en cuello o espalda baja | No recomendado para personas con problemas de cadera o limitación en flexión;ia;f;
24;Abdominales en bicicleta;Bicycle_Crunches.mov;avanzado;fuerza | cardio | estabilidad;suelo;core | piernas;;t;esterilla;espalda | cuello | cadera;fuerza | flexibilidad | postura;Ejercicio abdominal dinámico que combina rotación del tronco con movimiento alternado de piernas imitando el pedaleo.;Los abdominales en bicicleta son un ejercicio avanzado de core que se realiza tumbado boca arriba. Consiste en llevar alternativamente el codo hacia la rodilla opuesta mientras se extiende la otra pierna, simulando un movimiento de pedaleo. Requiere coordinación, fuerza abdominal significativa y control del movimiento para evitar tensión en cuello y espalda baja.;Túmbate boca arriba con manos detrás de la cabeza y rodillas flexionadas | Eleva ligeramente hombros del suelo activando el abdomen | Lleva el codo derecho hacia la rodilla izquierda mientras extiendes la pierna derecha | Alterna el movimiento de forma controlada, llevando el codo izquierdo a la rodilla derecha | Mantén la zona lumbar pegada al suelo durante todo el ejercicio;Fortalece profundamente los músculos abdominales oblicuos y rectos | Mejora la coordinación y estabilidad del core | Aumenta la resistencia muscular abdominal;NO recomendado para personas mayores o con movilidad limitada debido a la alta exigencia | Evitar completamente si hay problemas lumbares, cervicales o de cadera | Requiere capacidad de levantarse y tumbarse en el suelo con facilidad | No tirar del cuello con las manos, solo apoyarlas suavemente;ia;f;
78;Abducción de cadera derecha;Hip_Abduction_Right.mov;iniciacion;movilidad | fuerza | estabilidad;de_pie;piernas | gluteos | cadera;;f;silla | pared;cadera;movilidad | fuerza | equilibrio | confianza;Movimiento lateral de la pierna derecha hacia afuera, fortaleciendo abductores de cadera y glúteo medio.;Ejercicio de abducción de cadera que consiste en elevar la pierna derecha lateralmente mientras se mantiene el equilibrio. Este movimiento fortalece los músculos abductores de la cadera, especialmente el glúteo medio, mejora la estabilidad pélvica y contribuye a un mejor equilibrio y patrón de marcha. Es fundamental para prevenir caídas y mantener la independencia funcional.;Colocarse de pie junto a una silla o pared para apoyo con la mano izquierda | Mantener la pierna derecha estirada y elevarla lateralmente hacia el lado derecho, sin inclinar el tronco | Levantar la pierna hasta donde sea cómodo (sin forzar), mantener 2-3 segundos y bajar con control | Mantener el pie mirando al frente durante todo el movimiento | Repetir 10-15 veces de forma controlada;Fortalece los músculos abductores de cadera y glúteo medio | Mejora el equilibrio y la estabilidad lateral | Previene caídas al fortalecer la musculatura estabilizadora | Mejora el patrón de marcha y la movilidad funcional;Evitar si hay dolor agudo en la cadera o prótesis reciente sin autorización médica | No inclinar el tronco hacia el lado contrario para compensar | Comenzar con movimientos pequeños y aumentar gradualmente el rango | Mantener siempre un apoyo seguro para prevenir pérdida de equilibrio;ia;f;
77;Abducción de cadera izquierda;Hip_Abduction_Left.mov;iniciacion;movilidad | fuerza | equilibrio;de_pie;piernas | gluteos | cadera;;f;silla | pared;cadera;movilidad | fuerza | equilibrio | estabilidad;Ejercicio de elevación lateral de la pierna izquierda para fortalecer abductores de cadera y mejorar el equilibrio.;La abducción de cadera es un ejercicio fundamental que consiste en levantar la pierna izquierda lateralmente mientras se mantiene el cuerpo erguido. Este movimiento trabaja los músculos abductores de la cadera, especialmente el glúteo medio, esenciales para la estabilidad al caminar y prevenir caídas. Se realiza de pie, con apoyo opcional en silla o pared para mayor seguridad.;Colócate de pie junto a una silla o pared para apoyo con la mano derecha | Mantén la espalda recta y el core activado, con el peso sobre la pierna derecha | Levanta lentamente la pierna izquierda hacia el lado, manteniéndola recta, sin inclinar el tronco | Eleva hasta donde sea cómodo (15-30 cm del suelo es suficiente) | Mantén la posición 2-3 segundos y baja la pierna con control | Realiza 8-12 repeticiones;Fortalece los músculos abductores y glúteo medio, mejorando la estabilidad de cadera | Mejora el equilibrio y reduce el riesgo de caídas | Facilita actividades diarias como caminar y subir escaleras | Previene el dolor de cadera y rodilla por debilidad muscular;Evitar si hay prótesis de cadera reciente o dolor agudo en la cadera | No balancear el cuerpo ni inclinarse hacia el lado contrario | Mantener el movimiento controlado, sin impulso | Si hay artrosis de cadera, reducir el rango de movimiento y consultar con especialista;ia;f;
80;Aducción de Cadera Derecha;Hip_Adduction_Right.mov;iniciacion;fuerza | movilidad;de_pie;piernas | cadera | gluteos;;f;pared | silla;cadera;fuerza | movilidad | equilibrio | estabilidad;Movimiento de la pierna derecha hacia la línea media del cuerpo para fortalecer los músculos aductores internos del muslo.;La aducción de cadera derecha es un ejercicio de fortalecimiento que trabaja los músculos de la cara interna del muslo (aductores). De pie con apoyo, se mueve la pierna derecha cruzando hacia el centro del cuerpo de forma controlada. Este ejercicio mejora la estabilidad de la cadera, fortalece la musculatura interna del muslo y contribuye a un mejor equilibrio y patrón de marcha.;Colócate de pie junto a una silla o pared para apoyo con la mano izquierda | Mantén la espalda recta y el core activado | Levanta ligeramente la pierna derecha y muévela cruzando hacia la izquierda por delante del cuerpo | Regresa la pierna a la posición inicial de forma controlada | Realiza 10-12 repeticiones manteniendo el movimiento suave y controlado;Fortalece los músculos aductores del muslo interno | Mejora la estabilidad de la cadera y pelvis | Contribuye a un mejor equilibrio y control postural | Ayuda a prevenir caídas al fortalecer la musculatura estabilizadora;Evitar si hay dolor agudo en la cadera o ingle | No recomendado inmediatamente después de cirugía de cadera o prótesis sin autorización médica | Mantener siempre un punto de apoyo firme para evitar pérdida de equilibrio;ia;f;
79;Aducción de cadera izquierda;Hip_Adduction_Left.mov;iniciacion;fuerza | movilidad | estabilidad;de_pie;piernas | cadera | gluteos;;f;silla | pared;cadera;fuerza | movilidad | equilibrio | estabilidad;Movimiento de la pierna izquierda hacia la línea media del cuerpo, fortaleciendo los músculos aductores de la cadera.;La aducción de cadera es un ejercicio que fortalece los músculos aductores del muslo interno izquierdo. De pie, con apoyo en una silla o pared, se mueve la pierna izquierda cruzando hacia el centro del cuerpo. Este ejercicio mejora la estabilidad de la cadera, el equilibrio lateral y fortalece los músculos que mantienen las piernas alineadas al caminar.;Colócate de pie junto a una silla o pared para apoyo con la mano derecha | Mantén la pierna derecha ligeramente flexionada y estable | Mueve la pierna izquierda cruzando por delante hacia el lado derecho | Mantén el torso erguido y la espalda recta durante el movimiento | Regresa la pierna a la posición inicial de forma controlada | Realiza 8-12 repeticiones lentas y controladas;Fortalece los músculos aductores del muslo interno | Mejora la estabilidad lateral de la cadera | Ayuda a prevenir caídas mejorando el equilibrio | Facilita movimientos cotidianos como cruzar las piernas o caminar en línea recta;Evitar si hay dolor agudo en la ingle o cadera | No realizar con prótesis de cadera reciente sin autorización médica | Usar siempre apoyo estable para mantener el equilibrio | Detener si aparece dolor en la cara interna del muslo;ia;f;
