id;nombre_espanol;nivel;tipo_ejercicio;posicion;areas_cuerpo;descripcion
207;Abdominales;avanzado;fuerza;tumbado;core | cuello;Ejercicio intenso de fortalecimiento abdominal que implica elevar el tronco desde posición tumbada hasta sentarse completamente.
41;Abdominales (Encogimientos);intermedio;fuerza;tumbado;core;Ejercicio abdominal clásico tumbado boca arriba que fortalece el core mediante elevación del tronco superior.
64;Abdominales Choca Esos Cinco;intermedio;fuerza | estabilidad | cardio;suelo;core | brazos | hombros;Ejercicio abdominal dinámico donde se alternan toques de manos mientras se mantiene posición de plancha o crunch.
172;Abdominales Invertidos;avanzado;fuerza | estabilidad;tumbado;core | cadera;Ejercicio abdominal tumbado que consiste en elevar las caderas y rodillas hacia el pecho, trabajando intensamente el abdomen inferior.
118;Abdominales en Plancha Baja;avanzado;fuerza | estabilidad;suelo;core | brazos | hombros | espalda;Ejercicio avanzado que combina la posición de plancha sobre antebrazos con movimientos de contracción abdominal.
234;Abdominales en Posición de Mesa;intermedio;fuerza | estabilidad;tumbado;core | piernas;Ejercicio abdominal tumbado boca arriba con piernas elevadas en posición de mesa y contracción del core.
24;Abdominales en bicicleta;avanzado;fuerza | cardio | estabilidad;suelo;core | piernas;Ejercicio abdominal dinámico que combina rotación del tronco con movimiento alternado de piernas imitando el pedaleo.
78;Abducción de cadera derecha;iniciacion;movilidad | fuerza | estabilidad;de_pie;piernas | gluteos | cadera;Movimiento lateral de la pierna derecha hacia afuera, fortaleciendo abductores de cadera y glúteo medio.
77;Abducción de cadera izquierda;iniciacion;movilidad | fuerza | equilibrio;de_pie;piernas | gluteos | cadera;Ejercicio de elevación lateral de la pierna izquierda para fortalecer abductores de cadera y mejorar el equilibrio.
80;Aducción de Cadera Derecha;iniciacion;fuerza | movilidad;de_pie;piernas | cadera | gluteos;Movimiento de la pierna derecha hacia la línea media del cuerpo para fortalecer los músculos aductores internos del muslo.
79;Aducción de cadera izquierda;iniciacion;fuerza | movilidad | estabilidad;de_pie;piernas | cadera | gluteos;Movimiento de la pierna izquierda hacia la línea media del cuerpo, fortaleciendo los músculos aductores de la cadera.
202;Alcance con Una Pierna Izquierda;intermedio;equilibrio | fuerza | estabilidad;de_pie;piernas | core | gluteos;Ejercicio de equilibrio donde se mantiene el apoyo en una pierna mientras se alcanza hacia adelante o hacia abajo con la pierna izquierda elevada.
203;Alcance con una pierna derecha;intermedio;equilibrio | fuerza | estabilidad | movilidad;de_pie;piernas | core | gluteos | espalda;Ejercicio de equilibrio en el que se mantiene el apoyo sobre la pierna izquierda mientras se extiende la pierna derecha hacia atrás y se inclina el tronco hacia adelante.
35;Burpee y Salto con Rodillas al Pecho;avanzado;cardio | fuerza | equilibrio;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;Ejercicio de alta intensidad que combina burpees con saltos explosivos llevando las rodillas al pecho, diseñado para condición física avanzada.
36;Burpees;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | pecho | hombros | gluteos;Ejercicio de alto impacto que combina sentadilla, plancha y salto en un movimiento continuo y explosivo.
28;Burpees;avanzado;fuerza | cardio | estabilidad;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;Ejercicio de cuerpo completo de alta intensidad que combina sentadilla, plancha, flexión y salto en un movimiento continuo.
139;Burpees Estrechos;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | pecho | hombros | gluteos;Ejercicio de alta intensidad que combina flexión, plancha y salto con posición estrecha de pies, demandando gran resistencia cardiovascular y fuerza de todo el cuerpo.
108;Burpees Laterales;avanzado;cardio | fuerza | equilibrio | estabilidad;de_pie;piernas | core | brazos | hombros | gluteos | pecho;Ejercicio de alta intensidad que combina sentadilla, plancha y salto lateral, trabajando todo el cuerpo con movimiento cardiovascular intenso.
37;Burpees Modificados con Conteo;intermedio;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | pecho | hombros | gluteos;Versión adaptada del burpee tradicional usando silla como apoyo, combinando sentadilla, inclinación y elevación con conteo para mantener el ritmo.
27;Burpees con Salto Agrupado;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;Ejercicio de alta intensidad que combina una flexión en el suelo con un salto explosivo llevando las rodillas al pecho.
223;Burpees en Estrella;avanzado;cardio | fuerza | estabilidad;de_pie;piernas | core | brazos | espalda | hombros | gluteos | pecho;Ejercicio de alta intensidad que combina flexión, plancha y salto en estrella, requiriendo coordinación y fuerza total del cuerpo.
145;Crunch Oblicuo Derecho;intermedio;fuerza | estabilidad;tumbado;core;Ejercicio abdominal tumbado que trabaja los músculos oblicuos del lado derecho mediante una flexión lateral del tronco.
144;Crunch Oblicuo Izquierdo;intermedio;fuerza | estabilidad;tumbado;core;Ejercicio abdominal tumbado que trabaja los músculos oblicuos del lado izquierdo mediante una flexión lateral del tronco.
16;Círculos de Brazos Hacia Atrás;iniciacion;movilidad | estiramiento;de_pie;brazos | hombros | espalda;Movimiento circular de los brazos hacia atrás para mejorar la movilidad del hombro y la parte superior de la espalda.
17;Círculos de Brazos hacia Adelante;iniciacion;movilidad | estiramiento;de_pie;brazos | hombros | espalda;Movimiento circular de los brazos hacia adelante para mejorar la movilidad del hombro y activar la parte superior del cuerpo.
20;El Escarabajo;intermedio;fuerza | estabilidad | movilidad;tumbado;core | espalda | hombros | cadera;Ejercicio tumbado boca arriba con movimientos alternos de brazos y piernas que fortalece el core y mejora la coordinación.
186;Elevaciones de Cadera en Plancha Lateral Derecha;avanzado;fuerza | estabilidad | equilibrio;suelo;core | gluteos | hombros | brazos;Ejercicio avanzado de plancha lateral en el que se elevan y descienden las caderas manteniendo el cuerpo alineado sobre el lado derecho.
229;Elevaciones de Pierna Recta Derecha;intermedio;fuerza | estabilidad | movilidad;tumbado;piernas | core | gluteos | cadera;Ejercicio tumbado boca arriba que consiste en elevar la pierna derecha recta hacia el techo, fortaleciendo cuádriceps y flexores de cadera.
228;Elevaciones de Pierna Recta Izquierda;intermedio;fuerza | estabilidad | equilibrio;tumbado;piernas | core | cadera | gluteos;Ejercicio tumbado boca arriba que consiste en elevar la pierna izquierda extendida, fortaleciendo el core y los flexores de cadera.
153;Elevaciones de Pierna en Plancha;avanzado;fuerza | estabilidad;cuadrupedia;core | brazos | hombros | gluteos | piernas | espalda;Ejercicio avanzado que combina la posición de plancha con elevaciones alternadas de piernas para fortalecer todo el core y mejorar la estabilidad.
72;Elevaciones de Pierna en Plancha Alta (Izquierda);avanzado;fuerza | estabilidad | equilibrio;cuadrupedia;core | gluteos | hombros | brazos | espalda | piernas;Ejercicio avanzado en posición de plancha sobre manos elevando la pierna izquierda mientras se mantiene el core estable.
73;Elevaciones de Pierna en Plancha Alta Derecha;avanzado;fuerza | estabilidad | equilibrio;cuadrupedia;core | gluteos | hombros | brazos | espalda | piernas;Ejercicio avanzado que combina plancha alta con elevación de pierna derecha, requiriendo gran fuerza del core y estabilidad corporal.
125;Elevaciones de Pierna en Plancha Lateral Baja (Derecha);avanzado;fuerza | estabilidad | equilibrio;suelo;core | gluteos | piernas | hombros | brazos;Plancha lateral baja apoyada sobre antebrazo y rodilla, elevando la pierna superior extendida hacia arriba de forma controlada.
124;Elevaciones de Pierna en Plancha Lateral Baja (Izquierda);avanzado;fuerza | estabilidad | equilibrio;suelo;core | gluteos | piernas | hombros | brazos;Plancha lateral apoyando antebrazo y rodilla, elevando la pierna superior de forma controlada.
21;Elevaciones de Piernas con Rodillas Flexionadas;iniciacion;fuerza | estabilidad;tumbado;core | piernas | gluteos;Ejercicio tumbado boca arriba que fortalece el abdomen bajo elevando las piernas con las rodillas dobladas.
95;Elevaciones de Plancha Lateral Baja con Rodilla (Izquierda);avanzado;fuerza | estabilidad | equilibrio;suelo;core | brazos | hombros | gluteos | espalda;Plancha lateral modificada apoyando la rodilla, elevando y bajando las caderas del suelo mientras se mantiene el peso sobre el antebrazo izquierdo.
96;Elevaciones de Plancha Lateral Baja sobre Rodillas (Derecha);intermedio;fuerza | estabilidad | equilibrio;suelo;core | brazos | hombros | gluteos | cadera;Plancha lateral modificada apoyando rodillas, elevando y bajando la cadera del lado derecho para fortalecer el core lateral.
185;Elevaciones de cadera en plancha lateral izquierda;avanzado;fuerza | estabilidad | equilibrio;suelo;core | oblicuos | hombros | cadera | gluteos;Ejercicio avanzado de core en posición de plancha lateral sobre el lado izquierdo, elevando y bajando la cadera de forma controlada.
115;Elevaciones de pierna;intermedio;fuerza | estabilidad | equilibrio;tumbado;piernas | core | gluteos;Ejercicio tumbado boca arriba que consiste en elevar las piernas manteniendo la espalda apoyada en el suelo.
251;Elevaciones en V con Piernas Abiertas;avanzado;fuerza | estabilidad;tumbado;core | piernas;Ejercicio abdominal avanzado tumbado boca arriba elevando simultáneamente tronco y piernas abiertas formando una V.
204;Elevaciones en V con una pierna;avanzado;fuerza | estabilidad;tumbado;core | piernas;Ejercicio abdominal intenso donde se eleva el torso y una pierna simultáneamente formando una V, manteniendo la otra pierna extendida.
114;Elevación de Piernas con Crunch Abdominal;avanzado;fuerza | estabilidad;tumbado;core | piernas;Ejercicio avanzado que combina elevación de piernas con contracción abdominal simultánea estando tumbado boca arriba.
102;Encogimientos con elevación de rodillas;avanzado;fuerza | estabilidad;tumbado;core | piernas;Ejercicio abdominal que combina encogimientos tradicionales con elevación simultánea de rodillas hacia el pecho mientras se está tumbado boca arriba.
205;Escalador de Montaña con Pierna Cruzada (Izquierda);avanzado;fuerza | cardio | estabilidad;cuadrupedia;core | brazos | hombros | piernas;Ejercicio avanzado en posición de plancha donde se lleva la rodilla izquierda cruzando hacia el codo derecho de forma dinámica.
206;Escalador de Montaña con Pierna Cruzada Derecha;avanzado;fuerza | cardio | estabilidad;cuadrupedia;core | brazos | hombros | piernas | gluteos;Ejercicio de alta intensidad en posición de plancha llevando la rodilla derecha cruzada hacia el codo opuesto.
138;Escaladores de Montaña;avanzado;cardio | fuerza | estabilidad;cuadrupedia;core | brazos | hombros | piernas | gluteos;Ejercicio cardiovascular intenso que simula escalar una montaña desde posición de plancha, alternando rodillas al pecho.
255;Escaladores de Montaña en X;avanzado;cardio | fuerza | estabilidad;cuadrupedia;core | brazos | hombros | piernas | pecho;Ejercicio cardiovascular intenso en posición de plancha, alternando rodillas hacia codos opuestos en patrón cruzado de alta intensidad.
208;Esquiador Abdominal;intermedio;fuerza | estabilidad | cardio;de_pie;core | piernas | hombros;Ejercicio dinámico que simula el movimiento de esquí mientras activa el core y trabaja rotación de tronco.
180;Estiramiento Cruzado de Hombro Derecho;iniciacion;estiramiento | movilidad;de_pie;hombros | espalda;Estiramiento suave del hombro derecho llevando el brazo cruzado sobre el pecho con ayuda del brazo contrario.
179;Estiramiento Cruzado de Hombro Izquierdo;iniciacion;estiramiento | movilidad;de_pie;hombros | espalda;Estiramiento del hombro izquierdo llevando el brazo cruzado sobre el pecho con ayuda del brazo contrario.
246;Estiramiento Pectoral en Pared (Derecho);iniciacion;estiramiento | movilidad;de_pie;pecho | hombros | brazos;Estiramiento del pectoral derecho apoyando el brazo en la pared para mejorar la apertura del pecho y la postura.
222;Estiramiento de Cuádriceps de Pie (Pierna Derecha);intermedio;estiramiento | equilibrio | flexibilidad;de_pie;piernas;Estiramiento del músculo cuádriceps de la pierna derecha manteniéndose de pie sobre la pierna izquierda.
221;Estiramiento de Cuádriceps de Pie (Pierna Izquierda);intermedio;estiramiento | equilibrio | flexibilidad;de_pie;piernas;Estiramiento del músculo cuádriceps de la pierna izquierda manteniéndose de pie, flexionando la rodilla y llevando el talón hacia el glúteo.
107;Estiramiento de Flexor de Cadera Derecho en Rodilla;intermedio;estiramiento | movilidad | flexibilidad;suelo;piernas | cadera | core;Estiramiento profundo del flexor de cadera derecho desde posición de rodilla adelantada, mejorando movilidad y postura.
106;Estiramiento de Flexor de Cadera en Rodilla (Izquierda);intermedio;estiramiento | movilidad | flexibilidad;suelo;cadera | piernas | core;Estiramiento en posición de rodilla para elongar los músculos flexores de la cadera izquierda, mejorando la movilidad y reduciendo la tensión lumbar.
60;Estiramiento de Glúteo Derecho;iniciacion;estiramiento | movilidad;sentado;gluteos | cadera | espalda;Estiramiento suave del glúteo derecho realizado desde posición sentada, ideal para mejorar la flexibilidad de cadera.
59;Estiramiento de Glúteo Izquierdo;iniciacion;estiramiento | movilidad;sentado;gluteos | cadera | espalda;Estiramiento suave del glúteo izquierdo realizado desde posición sentada para mejorar la movilidad de cadera.
245;Estiramiento de Pectoral en Pared (Izquierdo);iniciacion;estiramiento | movilidad;de_pie;pecho | hombros | brazos;Estiramiento del músculo pectoral izquierdo apoyando el brazo en la pared y rotando el tronco hacia el lado contrario.
148;Estiramiento de Tríceps por Encima de la Cabeza (Derecho);iniciacion;estiramiento | movilidad;de_pie;brazos | hombros;Estiramiento suave del tríceps derecho elevando el brazo y llevando la mano hacia la espalda alta.
147;Estiramiento de Tríceps por Encima de la Cabeza (Izquierdo);iniciacion;estiramiento | movilidad;de_pie;brazos | hombros;Estiramiento del músculo tríceps del brazo izquierdo elevando el brazo por encima de la cabeza y flexionando el codo.
33;Estiramiento del Zapatero;iniciacion;estiramiento | movilidad;sentado;cadera | piernas | gluteos;Estiramiento suave de caderas sentado con plantas de los pies juntas, mejorando la flexibilidad de aductores e ingle.
132;Estocada con Patada Frontal (Pierna Izquierda);avanzado;fuerza | equilibrio | cardio | estabilidad;de_pie;piernas | gluteos | core | cadera;Ejercicio dinámico que combina una estocada con una patada frontal con la pierna izquierda, mejorando fuerza y equilibrio.
130;Estocada con Rotación de Tronco Izquierda;avanzado;fuerza | equilibrio | movilidad | estabilidad;de_pie;piernas | core | gluteos | espalda;Ejercicio de estocada con rotación del torso hacia la izquierda que combina fuerza de piernas y movilidad del tronco.
192;Estocada lateral a reverencia derecha;avanzado;fuerza | equilibrio | movilidad | estabilidad;de_pie;piernas | gluteos | core | cadera;Ejercicio combinado que alterna entre una estocada lateral y una estocada en reverencia con la pierna derecha, trabajando fuerza y equilibrio en múltiples planos.
239;Extensión de Tríceps;intermedio;fuerza;sentado;brazos;Ejercicio para fortalecer la parte posterior de los brazos (tríceps) mediante extensión del codo por encima de la cabeza.
18;Extensión de Tríceps Asistida;iniciacion;fuerza | movilidad;sentado;brazos;Ejercicio asistido para fortalecer los tríceps (parte posterior del brazo) realizado desde posición sentada con apoyo.
111;Flexiones Acostadas y Saltos con Rodillas al Pecho;avanzado;fuerza | cardio | estabilidad;suelo;pecho | brazos | hombros | core | piernas | gluteos;Ejercicio de alta intensidad que combina flexiones desde posición tumbada con saltos explosivos llevando las rodillas al pecho.
252;Flexiones Amplias;avanzado;fuerza | estabilidad;suelo;pecho | hombros | brazos | core;Flexiones con las manos separadas más allá del ancho de hombros para trabajar intensamente pecho y hombros.
15;Flexiones Arquero;avanzado;fuerza | estabilidad;suelo;brazos | hombros | pecho | core;Flexión avanzada donde se desplaza el peso lateralmente hacia un brazo mientras el otro se extiende, similar al movimiento de un arquero.
141;Flexiones Cerradas o Diamante;avanzado;fuerza | estabilidad;suelo;brazos | pecho | hombros | core;Flexiones con las manos juntas bajo el pecho, incrementando la intensidad en tríceps y pecho interno.
76;Flexiones Hindúes;avanzado;fuerza | movilidad | estabilidad;suelo;brazos | hombros | pecho | espalda | core;Flexión dinámica que combina movimiento de onda corporal, trabajando todo el tren superior con transición fluida.
151;Flexiones Pike;avanzado;fuerza | estabilidad;suelo;hombros | brazos | core | espalda;Flexión avanzada en posición de V invertida que trabaja intensamente hombros y brazos con el peso corporal.
158;Flexiones Pliométricas;avanzado;fuerza | cardio;suelo;brazos | pecho | hombros | core;Flexiones explosivas donde las manos despegan del suelo en cada repetición, ejercicio de alta intensidad para tren superior.
99;Flexiones Pliométricas de Rodillas;avanzado;fuerza | cardio;suelo;brazos | pecho | hombros | core;Flexiones explosivas con las rodillas apoyadas donde las manos despegan del suelo en la fase ascendente.
200;Flexiones a una pierna (izquierda);avanzado;fuerza | equilibrio | estabilidad;suelo;brazos | pecho | hombros | core | gluteos | piernas;Flexión de brazos en posición de plancha elevando la pierna izquierda, combinando fuerza de tren superior con estabilidad del core.
201;Flexiones a una pierna (pierna derecha);avanzado;fuerza | equilibrio | estabilidad;suelo;brazos | pecho | hombros | core | espalda | gluteos;Flexión de brazos avanzada manteniendo una pierna (derecha) elevada del suelo, requiere fuerza superior del cuerpo y estabilidad del core.
49;Flexiones con Caída;avanzado;fuerza | estabilidad;suelo;pecho | brazos | hombros | core;Flexiones pliométricas avanzadas que implican dejar caer el cuerpo desde una superficie elevada y amortiguar con los brazos.
48;Flexiones con Doble Palmada;avanzado;fuerza | cardio;suelo;pecho | brazos | hombros | core;Flexiones explosivas donde se da una palmada doble en el aire antes de volver a apoyar las manos en el suelo.
250;Flexiones con rodillas apoyadas y manos separadas;intermedio;fuerza | estabilidad;cuadrupedia;pecho | brazos | hombros | core;Flexiones modificadas con rodillas apoyadas y manos en posición más amplia que los hombros para trabajar pecho y brazos con menor intensidad.
143;Flexiones de Brazos Estrechas a Anchas;avanzado;fuerza | estabilidad;suelo;brazos | pecho | hombros | core;Flexiones alternando posición de manos estrecha y ancha para trabajar diferentes grupos musculares del tren superior.
247;Flexiones de Pared;iniciacion;fuerza | estabilidad;de_pie;pecho | brazos | hombros | core;Flexiones suaves realizadas contra una pared, ideales para fortalecer el tren superior sin sobrecarga.
101;Flexiones de Rodillas con Desplazamiento Lateral;intermedio;fuerza | estabilidad;cuadrupedia;brazos | pecho | hombros | core;Flexiones modificadas apoyando las rodillas con desplazamiento lateral del cuerpo para trabajar diferentes ángulos del pecho y brazos.
14;Flexiones de cocodrilo;avanzado;fuerza | estabilidad;suelo;brazos | hombros | pecho | core | espalda;Variante avanzada de flexiones con movimiento alternado de brazos que imita el desplazamiento de un cocodrilo, requiriendo gran fuerza del tren superior.
34;Flexiones de comandante;avanzado;fuerza | estabilidad;suelo;brazos | hombros | pecho | core;Variante avanzada de flexiones que combina movimiento del tren superior con elevación alternada de brazos en posición de plancha.
193;Flexiones de lado a lado;avanzado;fuerza | estabilidad;suelo;brazos | pecho | hombros | core;Flexiones avanzadas donde se desplaza el peso del cuerpo lateralmente entre cada repetición, aumentando la intensidad en brazos y pecho.
170;Flexiones de pecho;avanzado;fuerza | estabilidad;suelo;pecho | brazos | hombros | core;Ejercicio de fuerza del tren superior que trabaja pecho, brazos y hombros mediante el descenso y elevación del cuerpo con apoyo en manos y pies.
100;Flexiones de rodillas;intermedio;fuerza | estabilidad;cuadrupedia;brazos | pecho | hombros | core;Flexiones modificadas apoyando las rodillas en el suelo, ideales para fortalecer brazos y pecho con menor intensidad.
98;Flexiones de rodillas de estrechas a amplias;intermedio;fuerza | estabilidad;cuadrupedia;pecho | brazos | hombros | core;Flexiones apoyando rodillas alternando posición de manos entre estrecha y amplia para trabajar diferentes ángulos del pecho y brazos
140;Flexiones de rodillas juntas;avanzado;fuerza | estabilidad;suelo;brazos | pecho | hombros | core;Flexiones con las rodillas apoyadas en el suelo y las manos en posición estrecha para trabajar tríceps y pecho de forma intensa.
93;Flexiones de rodillas tumbado;intermedio;fuerza | estabilidad;tumbado;pecho | brazos | hombros | core;Flexiones modificadas apoyando las rodillas en el suelo para reducir la intensidad y proteger la espalda baja.
44;Flexiones delfín;avanzado;fuerza | estabilidad;suelo;hombros | brazos | core | espalda | pecho;Flexión avanzada con antebrazos apoyados que fortalece hombros y core mediante movimiento de balanceo hacia adelante y atrás.
225;Flexiones en Estrella;avanzado;fuerza | estabilidad | equilibrio;suelo;brazos | hombros | pecho | core | espalda;Variante avanzada de flexión donde brazos y piernas se abren en forma de estrella durante el descenso, requiriendo gran fuerza y control corporal.
84;Flexiones en pared inclinada;iniciacion;fuerza;de_pie;brazos | hombros | pecho;Flexiones realizadas contra una pared en posición inclinada, ideal para fortalecer brazos, hombros y pecho sin necesidad de tirarse al suelo.
113;Flexiones tumbado;avanzado;fuerza | estabilidad;tumbado;brazos | hombros | pecho | core;Flexiones de brazos realizadas desde posición boca abajo en el suelo, ejercicio de fuerza para tren superior.
167;Flexión con Toque de Hombro;avanzado;fuerza | estabilidad | equilibrio;cuadrupedia;brazos | hombros | pecho | core | espalda;Flexión de brazos en posición de plancha con toques alternados al hombro opuesto, manteniendo estabilidad del core.
238;Fondos de Tríceps;avanzado;fuerza;sentado;brazos | hombros | pecho;Ejercicio de fuerza para tríceps usando el peso corporal con apoyo en silla, bajando y subiendo el cuerpo mediante extensión de brazos.
